level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	5	1	2	5	2760	1189	215	38	96	Member
5	1	5	1	2	6	3021	1191	65	36	91	ID
5	1	5	1	2	7	3129	1185	27	48	90	#
5	1	5	1	2	8	3212	1199	9	28	92	:
5	1	5	1	2	9	3310	1187	319	40	96	519089285
5	1	5	1	2	10	3856	1191	69	36	93	Pt
5	1	5	1	2	11	3960	1185	178	48	28	Acct#
5	1	5	1	2	12	4158	1187	382	40	28	:COP3782480
5	1	5	1	2	13	5675	1185	240	48	89	Claim#:
5	1	5	1	2	14	6006	1187	317	40	89	823060588
4	1	5	1	3	0	431	1318	4874	59	-1	
5	1	5	1	3	1	431	1324	105	36	96	Rev
5	1	5	1	3	2	724	1324	140	36	96	Proc
5	1	5	1	3	3	904	1322	110	38	96	Mod
5	1	5	1	3	4	1162	1322	248	38	95	Service
5	1	5	1	3	5	1489	1322	248	38	96	Service
5	1	5	1	3	6	1854	1318	27	48	93	#
5	1	5	1	3	7	1925	1322	67	38	96	Of
5	1	5	1	3	8	2179	1322	218	38	96	Billed
5	1	5	1	3	9	2577	1322	247	38	96	Allowed
5	1	5	1	3	10	2943	1324	174	49	92	Copay
5	1	5	1	3	11	3235	1318	215	59	96	Deduct
5	1	5	1	3	12	3562	1324	142	36	96	Late
5	1	5	1	3	13	3816	1318	287	59	96	Medicare
5	1	5	1	3	14	4217	1324	217	36	96	Amount
5	1	5	1	3	15	4652	1318	109	59	96	Not
5	1	5	1	3	16	4981	1324	109	36	95	MSG
5	1	5	1	3	17	5129	1324	176	36	96	CODES
4	1	5	1	4	0	431	1385	4405	55	-1	
5	1	5	1	4	1	431	1389	142	38	96	Code
5	1	5	1	4	2	722	1389	142	38	95	Code
5	1	5	1	4	3	1197	1391	143	36	95	From
5	1	5	1	4	4	1525	1389	139	38	96	Thru
5	1	5	1	4	5	1852	1385	175	55	95	Units
5	1	5	1	4	6	3564	1391	103	36	95	Fee
5	1	5	1	4	7	3819	1391	104	36	96	OIC
5	1	5	1	4	8	3964	1389	145	38	96	Paid
5	1	5	1	4	9	4256	1389	143	38	96	Paid
5	1	5	1	4	10	4583	1389	253	38	95	Covered
4	1	5	1	5	0	724	1518	4508	48	-1	
5	1	5	1	5	1	724	1520	172	40	96	73720
5	1	5	1	5	2	1014	1524	67	36	88	TC
5	1	5	1	5	3	1164	1518	280	48	88	02/28/20
5	1	5	1	5	4	1491	1518	282	48	96	02/28/20
5	1	5	1	5	5	2037	1522	25	38	95	1
5	1	5	1	5	6	2220	1520	245	40	95	1373.00
5	1	5	1	5	7	2691	1520	211	40	96	368.69
5	1	5	1	5	8	3058	1520	134	40	95	0.00
5	1	5	1	5	9	3348	1520	134	40	95	0.00
5	1	5	1	5	10	3677	1520	134	40	95	0.00
5	1	5	1	5	11	4004	1520	134	40	95	0.00
5	1	5	1	5	12	4367	1520	210	40	96	368.69
5	1	5	1	5	13	4769	1520	244	40	91	1004.31
5	1	5	1	5	14	5096	1520	136	40	86	8500
4	1	5	1	6	0	720	1585	4512	48	-1	
5	1	5	1	6	1	720	1587	178	40	92	A9575
5	1	5	1	6	2	1164	1585	280	48	96	02/28/20
5	1	5	1	6	3	1491	1585	282	48	96	02/28/20
5	1	5	1	6	4	1964	1587	98	40	96	150
5	1	5	1	6	5	2293	1587	172	40	95	90.00
5	1	5	1	6	6	2727	1587	172	40	95	27.00
5	1	5	1	6	7	3058	1587	134	40	95	0.00
5	1	5	1	6	8	3348	1587	134	40	95	0.00
5	1	5	1	6	9	3677	1587	134	40	95	0.00
5	1	5	1	6	10	4004	1587	134	40	95	0.00
5	1	5	1	6	11	4402	1587	172	40	95	27.00
5	1	5	1	6	12	4842	1587	171	40	94	63.00
5	1	5	1	6	13	5096	1587	136	40	95	8500
4	1	5	1	7	0	431	1720	4582	48	-1	
5	1	5	1	7	1	431	1724	175	38	95	Total
5	1	5	1	7	2	651	1727	103	35	96	For
5	1	5	1	7	3	795	1724	182	38	91	Claim
5	1	5	1	7	4	1016	1720	27	48	91	#
5	1	5	1	7	5	1091	1722	317	40	96	823060588
5	1	5	1	7	6	2220	1722	245	40	90	1463.00
5	1	5	1	7	7	2691	1722	211	40	96	395.69
5	1	5	1	7	8	3058	1722	134	40	95	0.00
5	1	5	1	7	9	3348	1722	134	40	95	0.00
5	1	5	1	7	10	3677	1722	134	40	95	0.00
5	1	5	1	7	11	4004	1722	134	40	95	0.00
5	1	5	1	7	12	4367	1722	210	40	95	395.69
5	1	5	1	7	13	4769	1722	244	40	89	1067.31
2	1	6	0	0	0	431	1856	2582	40	-1	
3	1	6	1	0	0	431	1856	2582	40	-1	
4	1	6	1	1	0	431	1856	2582	40	-1	
5	1	6	1	1	1	431	1858	181	38	95	Claim
5	1	6	1	1	2	649	1860	215	36	96	Reason
5	1	6	1	1	3	906	1858	202	38	95	Codes:
5	1	6	1	1	4	1199	1856	136	40	92	8500
5	1	6	1	1	5	1379	1860	181	36	96	CLAIM
5	1	6	1	1	6	1599	1860	138	36	96	PAID
5	1	6	1	1	7	1777	1860	69	36	96	AT
5	1	6	1	1	8	1887	1860	361	36	96	CONTRACTED
5	1	6	1	1	9	2289	1860	140	36	96	RATE
5	1	6	1	1	10	2470	1860	72	36	96	OR
5	1	6	1	1	11	2581	1860	102	36	96	FEE
5	1	6	1	1	12	2727	1860	286	36	96	SCHEDULE
2	1	7	0	0	0	428	2122	6114	2335	-1	
3	1	7	1	0	0	428	2122	6114	2324	-1	
4	1	7	1	1	0	433	2122	5128	40	-1	
5	1	7	1	1	1	433	2124	286	38	96	Provider
5	1	7	1	1	2	758	2127	169	35	96	Name:
5	1	7	1	1	3	979	2127	358	35	95	EMERYVILLE
5	1	7	1	1	4	1379	2127	142	35	96	OPEN
5	1	7	1	1	5	1558	2127	104	35	96	MRI
5	1	7	1	1	6	2764	2124	284	38	96	Provider
5	1	7	1	1	7	3087	2127	134	35	95	NPI:
5	1	7	1	1	8	3275	2122	354	40	95	1376597930
5	1	7	1	1	9	4619	2124	140	38	96	Line
5	1	7	1	1	10	4800	2124	69	38	96	of
5	1	7	1	1	11	4910	2124	313	38	96	Business:
5	1	7	1	1	12	5273	2127	288	35	96	MEDI-CAL
4	1	7	1	2	0	429	2256	5897	50	-1	
5	1	7	1	2	1	429	2260	217	38	96	Member
5	1	7	1	2	2	685	2262	169	36	96	Name:
5	1	7	1	2	3	906	2262	202	44	93	HAYES,
5	1	7	1	2	4	1162	2262	211	36	92	JANELL
5	1	7	1	2	5	2760	2260	215	38	96	Member
5	1	7	1	2	6	3021	2262	64	36	93	ID
5	1	7	1	2	7	3129	2256	27	48	88	#
5	1	7	1	2	8	3212	2270	9	28	88	:
5	1	7	1	2	9	3312	2258	319	40	96	000000569
5	1	7	1	2	10	3856	2262	69	36	93	Pt
5	1	7	1	2	11	3960	2256	542	48	71	Acct#:COP589852
5	1	7	1	2	12	5675	2256	240	48	88	Claim#:
5	1	7	1	2	13	6004	2258	322	40	90	775340239
4	1	7	1	3	0	431	2345	6111	99	-1	
5	1	7	1	3	1	431	2345	106	86	77	Rev
5	1	7	1	3	2	689	2345	175	86	28	Proc
5	1	7	1	3	3	880	2345	263	86	43	Mods
5	1	7	1	3	4	1162	2341	248	121	69	Service
5	1	7	1	3	5	1418	2345	574	92	92	Service
5	1	7	1	3	6	1778	2341	243	121	84	#Of
5	1	7	1	3	7	2037	2345	136	5	29	|
5	1	7	1	3	8	2179	2345	219	86	75	Billed
5	1	7	1	3	9	2514	2345	21	5	44	©
5	1	7	1	3	10	2548	2345	310	86	83	Allowed
5	1	7	1	3	11	2897	2345	226	99	81	Copay
5	1	7	1	3	12	3189	2345	284	86	91	Deduct
5	1	7	1	3	13	3522	2345	182	86	65	Late
5	1	7	1	3	14	3754	2345	384	86	90	Medicare
5	1	7	1	3	15	4157	2345	310	86	85	amount
5	1	7	1	3	16	4477	2345	171	5	60	|
5	1	7	1	3	17	4652	2345	109	86	78	Not
5	1	7	1	3	18	4944	2345	146	86	0	MSG
5	1	7	1	3	19	5105	2345	235	86	0	CODES
5	1	7	1	3	20	5509	2345	85	5	56	=
5	1	7	1	3	21	5751	2345	62	5	56	=
5	1	7	1	3	22	6446	2345	96	5	68	|
4	1	7	1	4	0	431	2456	4405	59	-1	
5	1	7	1	4	1	431	2456	142	59	96	Code
5	1	7	1	4	2	722	2460	142	38	96	Code
5	1	7	1	4	3	1197	2462	139	36	96	From
5	1	7	1	4	4	1525	2456	139	59	96	Thru
5	1	7	1	4	5	1852	2456	175	59	96	Units
5	1	7	1	4	6	3564	2462	100	36	95	Fee
5	1	7	1	4	7	3819	2462	104	36	95	OIC
5	1	7	1	4	8	3964	2460	145	38	96	Paid
5	1	7	1	4	9	4256	2460	144	38	96	Paid
5	1	7	1	4	10	4583	2460	253	38	95	Covered
4	1	7	1	5	0	724	2589	4508	48	-1	
5	1	7	1	5	1	724	2591	172	40	95	72141
5	1	7	1	5	2	1014	2595	67	36	94	TC
5	1	7	1	5	3	1164	2589	280	48	94	03/04/20
5	1	7	1	5	4	1491	2589	282	48	96	03/04/20
5	1	7	1	5	5	2037	2593	25	38	95	1
5	1	7	1	5	6	2256	2591	209	40	95	889.00
5	1	7	1	5	7	2693	2591	207	40	95	191.24
5	1	7	1	5	8	3058	2591	134	40	95	0.00
5	1	7	1	5	9	3348	2591	135	40	95	0.00
5	1	7	1	5	10	3677	2591	134	40	95	0.00
5	1	7	1	5	11	4004	2591	134	40	95	0.00
5	1	7	1	5	12	4369	2591	206	40	96	191.24
5	1	7	1	5	13	4804	2591	211	40	94	697.76
5	1	7	1	5	14	5096	2591	136	40	91	8500
4	1	7	1	6	0	431	2725	4584	48	-1	
5	1	7	1	6	1	431	2729	175	38	96	Total
5	1	7	1	6	2	651	2731	103	36	96	For
5	1	7	1	6	3	795	2729	182	38	92	Claim
5	1	7	1	6	4	1016	2725	28	48	92	#
5	1	7	1	6	5	1089	2727	321	40	95	775340239
5	1	7	1	6	6	2256	2727	209	40	95	889.00
5	1	7	1	6	7	2693	2727	207	40	96	191.24
5	1	7	1	6	8	3058	2727	134	40	95	0.00
5	1	7	1	6	9	3348	2727	135	40	96	0.00
5	1	7	1	6	10	3677	2727	134	40	95	0.00
5	1	7	1	6	11	4004	2727	134	40	95	0.00
5	1	7	1	6	12	4369	2727	206	40	96	191.24
5	1	7	1	6	13	4804	2727	211	40	95	697.76
4	1	7	1	7	0	429	2858	5894	50	-1	
5	1	7	1	7	1	429	2862	217	38	95	Member
5	1	7	1	7	2	685	2864	169	36	96	Name:
5	1	7	1	7	3	906	2864	311	44	93	ROBINSON,
5	1	7	1	7	4	1270	2864	217	36	91	SHAMAR
5	1	7	1	7	5	2760	2862	215	38	96	Member
5	1	7	1	7	6	3021	2864	65	36	90	ID
5	1	7	1	7	7	3129	2858	27	48	90	#
5	1	7	1	7	8	3212	2872	9	28	92	:
5	1	7	1	7	9	3312	2860	317	40	95	000213738
5	1	7	1	7	10	3856	2864	69	36	93	Pt
5	1	7	1	7	11	3960	2858	178	48	38	Acct#
5	1	7	1	7	12	4158	2860	384	40	38	:COP3786296
5	1	7	1	7	13	5675	2858	240	48	89	Claim#:
5	1	7	1	7	14	6006	2860	317	40	96	051770284
4	1	7	1	8	0	431	2947	6111	99	-1	
5	1	7	1	8	1	431	2947	106	86	32	Rev
5	1	7	1	8	2	709	2947	155	86	32	Proc
5	1	7	1	8	3	880	2947	272	86	31	Mods
5	1	7	1	8	4	1153	2943	257	121	31	Service
5	1	7	1	8	5	1418	2947	574	92	92	Service
5	1	7	1	8	6	1778	2943	243	121	86	#Of
5	1	7	1	8	7	2037	2947	136	5	40	|
5	1	7	1	8	8	2179	2947	219	86	71	Billed
5	1	7	1	8	9	2514	2947	21	5	53	©
5	1	7	1	8	10	2548	2947	310	86	78	Allowed
5	1	7	1	8	11	2897	2947	226	99	80	Copay
5	1	7	1	8	12	3189	2947	284	86	88	Deduct
5	1	7	1	8	13	3522	2947	182	86	66	Late
5	1	7	1	8	14	3774	2947	364	86	90	Medicare
5	1	7	1	8	15	4157	2947	310	86	90	amount
5	1	7	1	8	16	4477	2947	171	5	50	|
5	1	7	1	8	17	4652	2947	109	86	45	Not
5	1	7	1	8	18	4769	2947	536	86	0	_MSGCODES
5	1	7	1	8	19	5498	2947	96	5	43	=
5	1	7	1	8	20	5730	2947	82	5	43	=
5	1	7	1	8	21	5932	2947	64	5	43	=
5	1	7	1	8	22	6446	2947	96	5	69	|
4	1	7	1	9	0	431	3058	4405	59	-1	
5	1	7	1	9	1	431	3058	142	59	96	Code
5	1	7	1	9	2	722	3062	142	38	96	Code
5	1	7	1	9	3	1197	3064	139	36	95	From
5	1	7	1	9	4	1525	3058	139	59	96	Thru
5	1	7	1	9	5	1852	3058	175	59	96	Units
5	1	7	1	9	6	3564	3064	103	36	95	Fee
5	1	7	1	9	7	3819	3064	104	36	95	OIC
5	1	7	1	9	8	3964	3062	144	38	96	Paid
5	1	7	1	9	9	4256	3062	144	38	96	Paid
5	1	7	1	9	10	4583	3062	253	38	95	Covered
4	1	7	1	10	0	724	3189	4508	61	-1	
5	1	7	1	10	1	724	3193	173	40	95	73221
5	1	7	1	10	2	1014	3197	67	36	91	TC
5	1	7	1	10	3	1164	3191	280	48	95	03/03/20
5	1	7	1	10	4	1491	3191	282	48	96	03/03/20
5	1	7	1	10	5	2037	3195	25	38	95	1
5	1	7	1	10	6	2256	3193	209	40	85	978.00
5	1	7	1	10	7	2691	3189	209	61	96	215.83
5	1	7	1	10	8	3058	3193	134	40	95	0.00
5	1	7	1	10	9	3348	3193	135	40	96	0.00
5	1	7	1	10	10	3677	3193	134	40	95	0.00
5	1	7	1	10	11	4004	3193	134	40	95	0.00
5	1	7	1	10	12	4367	3193	208	40	94	215.83
5	1	7	1	10	13	4802	3193	211	40	92	762.17
5	1	7	1	10	14	5096	3193	136	40	95	8500
4	1	7	1	11	0	431	3324	4582	62	-1	
5	1	7	1	11	1	431	3331	175	38	96	Total
5	1	7	1	11	2	651	3333	103	36	96	For
5	1	7	1	11	3	795	3331	182	38	92	Claim
5	1	7	1	11	4	1016	3327	28	48	92	#
5	1	7	1	11	5	1091	3329	317	40	96	051770284
5	1	7	1	11	6	2256	3329	209	40	91	978.00
5	1	7	1	11	7	2691	3324	208	62	95	215.83
5	1	7	1	11	8	3058	3329	134	40	95	0.00
5	1	7	1	11	9	3348	3329	135	40	95	0.00
5	1	7	1	11	10	3677	3329	134	40	95	0.00
5	1	7	1	11	11	4004	3329	134	40	95	0.00
5	1	7	1	11	12	4367	3329	208	40	95	215.83
5	1	7	1	11	13	4802	3329	211	40	95	762.17
4	1	7	1	12	0	429	3460	5897	50	-1	
5	1	7	1	12	1	429	3464	217	38	95	Member
5	1	7	1	12	2	685	3466	169	36	96	Name:
5	1	7	1	12	3	906	3466	311	44	93	ROBINSON,
5	1	7	1	12	4	1270	3466	217	36	92	SHAMAR
5	1	7	1	12	5	2760	3464	215	38	96	Member
5	1	7	1	12	6	3021	3466	65	36	92	ID
5	1	7	1	12	7	3129	3460	27	48	89	#
5	1	7	1	12	8	3212	3475	9	27	89	:
5	1	7	1	12	9	3312	3462	317	40	94	000213738
5	1	7	1	12	10	3856	3466	69	36	88	Pt
5	1	7	1	12	11	3960	3460	580	48	87	Acct#:2153600264
5	1	7	1	12	12	5675	3460	240	48	88	Claim#:
5	1	7	1	12	13	6004	3462	322	40	92	734275349
4	1	7	1	13	0	431	3550	6111	98	-1	
5	1	7	1	13	1	431	3550	106	85	72	Rev
5	1	7	1	13	2	694	3550	170	85	38	Proc
5	1	7	1	13	3	883	3546	233	119	0	Mod_~=s
5	1	7	1	13	4	1150	3546	260	119	66	Service
5	1	7	1	13	5	1418	3550	574	91	92	Service
5	1	7	1	13	6	1795	3546	100	119	16	#
5	1	7	1	13	7	1894	3546	120	119	16	Of
5	1	7	1	13	8	2179	3550	219	85	66	Billed
5	1	7	1	13	9	2499	3550	36	4	43	©
5	1	7	1	13	10	2548	3550	309	85	86	Allowed
5	1	7	1	13	11	2896	3550	249	98	82	Copay
5	1	7	1	13	12	3183	3550	289	85	89	Deduct
5	1	7	1	13	13	3520	3550	218	85	61	Late
5	1	7	1	13	14	3768	3550	368	85	85	Medicare
5	1	7	1	13	15	4175	3550	289	85	73	amount
5	1	7	1	13	16	4477	3550	171	4	59	|
5	1	7	1	13	17	4652	3550	109	85	59	Not
5	1	7	1	13	18	4769	3550	536	85	3	(MSGCODES
5	1	7	1	13	19	5514	3550	80	4	62	=
5	1	7	1	13	20	5742	3550	100	4	67	=
5	1	7	1	13	21	6466	3550	76	4	55	|
4	1	7	1	14	0	431	3660	4405	59	-1	
5	1	7	1	14	1	431	3660	142	59	96	Code
5	1	7	1	14	2	722	3664	142	38	96	Code
5	1	7	1	14	3	1197	3666	139	36	95	From
5	1	7	1	14	4	1525	3660	139	59	96	Thru
5	1	7	1	14	5	1852	3660	175	59	95	Units
5	1	7	1	14	6	3564	3666	100	36	96	Fee
5	1	7	1	14	7	3819	3666	104	36	94	OIC
5	1	7	1	14	8	3964	3664	144	38	96	Paid
5	1	7	1	14	9	4256	3664	144	38	96	Paid
5	1	7	1	14	10	4583	3664	253	38	95	Covered
4	1	7	1	15	0	724	3793	4508	49	-1	
5	1	7	1	15	1	724	3795	173	40	95	73221
5	1	7	1	15	2	1016	3795	65	40	94	26
5	1	7	1	15	3	1164	3793	280	49	94	03/03/20
5	1	7	1	15	4	1491	3793	282	49	96	03/03/20
5	1	7	1	15	5	2037	3797	25	38	95	1
5	1	7	1	15	6	2254	3795	208	40	96	202.00
5	1	7	1	15	7	2766	3795	134	40	95	0.00
5	1	7	1	15	8	3058	3795	134	40	95	0.00
5	1	7	1	15	9	3348	3795	135	40	95	0.00
5	1	7	1	15	10	3677	3795	134	40	95	0.00
5	1	7	1	15	11	4004	3795	134	40	95	0.00
5	1	7	1	15	12	4442	3795	133	40	94	0.00
5	1	7	1	15	13	4877	3795	136	40	94	0.00
5	1	7	1	15	14	5096	3795	136	40	95	8198
4	1	7	1	16	0	431	3929	4582	48	-1	
5	1	7	1	16	1	431	3933	175	38	96	Total
5	1	7	1	16	2	651	3935	103	36	96	For
5	1	7	1	16	3	795	3933	182	38	92	Claim
5	1	7	1	16	4	1016	3929	28	48	92	#
5	1	7	1	16	5	1089	3931	321	40	95	734275349
5	1	7	1	16	6	2254	3931	208	40	94	202.00
5	1	7	1	16	7	2766	3931	134	40	95	0.00
5	1	7	1	16	8	3058	3931	134	40	95	0.00
5	1	7	1	16	9	3348	3931	135	40	96	0.00
5	1	7	1	16	10	3677	3931	134	40	95	0.00
5	1	7	1	16	11	4004	3931	134	40	95	0.00
5	1	7	1	16	12	4442	3931	133	40	95	0.00
5	1	7	1	16	13	4877	3931	136	40	96	0.00
4	1	7	1	17	0	428	4062	5895	50	-1	
5	1	7	1	17	1	428	4066	217	38	95	Member
5	1	7	1	17	2	685	4068	169	36	96	Name:
5	1	7	1	17	3	904	4068	350	44	95	WHITEHEAD,
5	1	7	1	17	4	1308	4068	140	36	96	JEAN
5	1	7	1	17	5	2760	4066	215	38	95	Member
5	1	7	1	17	6	3021	4068	65	36	93	ID
5	1	7	1	17	7	3129	4062	27	48	91	#
5	1	7	1	17	8	3212	4077	9	27	85	:
5	1	7	1	17	9	3312	4064	317	40	96	000090552
5	1	7	1	17	10	3856	4068	69	36	93	Pt
5	1	7	1	17	11	3960	4062	580	48	60	Acct#:COP3732281
5	1	7	1	17	12	5675	4062	240	48	89	Claim#:
5	1	7	1	17	13	6004	4064	319	40	91	257725987
4	1	7	1	18	0	431	4152	6111	98	-1	
5	1	7	1	18	1	431	4152	106	85	67	Rev
5	1	7	1	18	2	694	4152	170	86	34	Proc
5	1	7	1	18	3	883	4152	131	86	16	Mod
5	1	7	1	18	4	1061	4148	55	119	0	~=s
5	1	7	1	18	5	1150	4148	260	119	67	Service
5	1	7	1	18	6	1418	4152	574	92	92	Service
5	1	7	1	18	7	1805	4148	80	119	91	#
5	1	7	1	18	8	1884	4148	130	119	85	Of
5	1	7	1	18	9	2179	4152	219	85	75	Billed
5	1	7	1	18	10	2402	4152	171	4	57	©
5	1	7	1	18	11	2577	4152	280	86	86	Allowed
5	1	7	1	18	12	2896	4152	249	98	75	Copay
5	1	7	1	18	13	3183	4152	289	86	92	Deduct
5	1	7	1	18	14	3520	4152	218	86	67	Late
5	1	7	1	18	15	3768	4152	368	86	87	Medicare
5	1	7	1	18	16	4155	4152	309	85	72	amount
5	1	7	1	18	17	4477	4152	171	4	54	|
5	1	7	1	18	18	4652	4152	109	86	54	Not
5	1	7	1	18	19	4981	4152	324	86	12	MSGCODES
5	1	7	1	18	20	5504	4152	90	4	61	=
5	1	7	1	18	21	5742	4152	100	4	64	=
5	1	7	1	18	22	5950	4152	119	4	54	=
5	1	7	1	18	23	6466	4152	76	4	62	|
4	1	7	1	19	0	431	4262	4405	59	-1	
5	1	7	1	19	1	431	4262	142	59	95	Code
5	1	7	1	19	2	722	4266	142	38	96	Code
5	1	7	1	19	3	1197	4268	144	36	96	From
5	1	7	1	19	4	1525	4262	139	59	96	Thru
5	1	7	1	19	5	1852	4262	175	59	96	Units
5	1	7	1	19	6	3564	4268	103	36	96	Fee
5	1	7	1	19	7	3819	4268	104	36	95	OIC
5	1	7	1	19	8	3964	4266	144	38	96	Paid
5	1	7	1	19	9	4256	4266	144	38	96	Paid
5	1	7	1	19	10	4583	4266	253	38	96	Covered
4	1	7	1	20	0	724	4395	4508	62	-1	
5	1	7	1	20	1	724	4400	172	40	95	70551
5	1	7	1	20	2	1164	4398	280	48	95	02/04/20
5	1	7	1	20	3	1491	4398	282	48	95	02/04/20
5	1	7	1	20	4	2037	4402	25	38	94	1
5	1	7	1	20	5	2220	4400	245	40	92	1251.00
5	1	7	1	20	6	2691	4400	208	40	95	284.15
5	1	7	1	20	7	3058	4400	134	40	95	0.00
5	1	7	1	20	8	3348	4400	135	40	95	0.00
5	1	7	1	20	9	3677	4400	134	40	95	0.00
5	1	7	1	20	10	3929	4400	211	40	96	224.29
5	1	7	1	20	11	4402	4395	172	62	95	56.83
5	1	7	1	20	12	4877	4400	136	40	94	0.00
5	1	7	1	20	13	5096	4400	136	40	95	8500
2	1	8	0	0	0	431	4529	4582	62	-1	
3	1	8	1	0	0	431	4529	4582	62	-1	
4	1	8	1	1	0	431	4529	4582	62	-1	
5	1	8	1	1	1	431	4535	175	38	96	Total
5	1	8	1	1	2	651	4537	103	36	96	For
5	1	8	1	1	3	795	4535	182	38	93	Claim
5	1	8	1	1	4	1016	4531	28	48	89	#
5	1	8	1	1	5	1089	4533	319	40	96	257725987
5	1	8	1	1	6	2220	4533	163	40	9	1251.
5	1	8	1	1	7	2402	4529	63	62	9	0:0
5	1	8	1	1	8	2691	4533	209	40	96	284.15
5	1	8	1	1	9	3058	4533	134	40	94	0.00
5	1	8	1	1	10	3348	4533	135	40	95	0.00
5	1	8	1	1	11	3677	4533	134	40	94	0.00
5	1	8	1	1	12	3929	4533	211	40	96	224.29
5	1	8	1	1	13	4402	4529	172	62	96	56.83
5	1	8	1	1	14	4877	4533	136	40	95	0.00
